|网点名称|地址|电话|区县|经纬度|银行名称
217|中国工商银行24小时自助银行(金谟路支行长丰北路)|鸭口||耀州区|108.953246,34.899990|中国工商银行24小时自助银行(金谟路支行长丰北路)
218|中国建设银行24小时自助银行|王家河北路与王家河南路交叉口西50米||王益区|109.062647,35.062109|中国建设银行24小时自助银行
219|陕西信合24小时自助银行(楼村信用社)|古柏路与育才路交叉口西50米||耀州区|108.904129,34.852057|陕西信合24小时自助银行(楼村信用社)
220|中国工商银行24小时自助银行(川口支行)|健康路与大同路交叉口西50米||耀州区|108.977121,34.920712|中国工商银行24小时自助银行(川口支行)
221|中国工商银行24小时自助银行(红旗街支行)|五一路20号||耀州区|108.980876,34.908371|中国工商银行24小时自助银行(红旗街支行)
222|中国邮政储蓄银行24小时自助银行|城关街道陕西信合||耀州区|108.974074,34.919156|中国邮政储蓄银行24小时自助银行
223|中国农业银行24小时自助银行(朝阳路分理处)|七一路103号||印台区|109.267438,35.138072|中国农业银行24小时自助银行(朝阳路分理处)
224|中国工商银行24小时自助银行(铜川新区支行)|华原东道龙凤佳城商业广场B座||印台区|109.101783,35.104207|中国工商银行24小时自助银行(铜川新区支行)
225|中国邮政储蓄银行(印台区支行)|同官路150号||印台区|109.200196,35.106863|中国邮政储蓄银行(印台区支行)
226|陕西信合铜川市王益区农村信用合作联社翠溪分社|陈炉镇街道陈炉镇政府附近||印台区|109.356569,35.118717|陕西信合铜川市王益区农村信用合作联社翠溪分社
227|中国工商银行24小时自助银行(耀州区支行药王路)|三里洞街道三里洞大花园幸福佳苑1号楼||耀州区|108.941576,34.902511|中国工商银行24小时自助银行(耀州区支行药王路)
228|中国邮政储蓄银行(新街营业所)|瑶曲镇||耀州区|108.940360,34.906698|中国邮政储蓄银行(新街营业所)
229|中国邮政储蓄银行(徐家沟邮电所)|红旗街4号||耀州区|108.944970,34.910411|中国邮政储蓄银行(徐家沟邮电所)
230|陕西信合24小时自助银行|高楼河镇||王益区|109.094530,35.072449|陕西信合24小时自助银行
231|陕西信合24小时自助银行|药王路西段北侧8号||耀州区|108.959713,34.856372|陕西信合24小时自助银行
232|陕西信合24小时自助银行|红旗街44号||耀州区|108.901108,34.852760|陕西信合24小时自助银行
233|中国建设银行24小时自助银行(五一路支行)|长虹南路5号附近||王益区|109.059134,35.062291|中国建设银行24小时自助银行(五一路支行)
234|陕西信合铜川市印台区农村信用合作联社印台分社|长虹南路(秦岭小区门口)||王益区|109.073597,35.066669|陕西信合铜川市印台区农村信用合作联社印台分社
235|中国农业银行24小时自助银行(铜川七一路支行)|红旗街52号附近||耀州区|108.945653,34.894559|中国农业银行24小时自助银行(铜川七一路支行)
236|中国银行24小时自助银行(华原东道)|长虹南路15号附近(秦岭小区门口)||耀州区|108.929953,34.886016|中国银行24小时自助银行(华原东道)
237|中国农业银行24小时自助银行(铜川印台区支行)|五一路49号||耀州区|108.936595,34.902469|中国农业银行24小时自助银行(铜川印台区支行)
238|陕西信合24小时自助银行|永安南路175号附近||印台区|109.101170,35.110004|陕西信合24小时自助银行
239|陕西信合(三里洞分社)|庙湾镇||王益区|109.077640,35.072240|陕西信合(三里洞分社)
240|陕西信合24小时自助银行|华原东道枫林小区北门旁||耀州区|108.975941,34.915762|陕西信合24小时自助银行
241|陕西信合24小时自助银行|玉华小区附近||王益区|109.072042,35.065360|陕西信合24小时自助银行
242|陕西信合24小时自助银行|西大街||印台区|108.926148,35.305064|陕西信合24小时自助银行
243|中国工商银行附行式自助银行(铜川分行耀州区支行药王路)|七一路25号||印台区|109.328072,35.124167|中国工商银行附行式自助银行(铜川分行耀州区支行药王路)
244|陕西信合铜川市王益区农村信用合作联社铜工信用社|川口路29号||王益区|109.054098,35.070026|陕西信合铜川市王益区农村信用合作联社铜工信用社
245|中国邮政储蓄银行24小时自助银行(长虹路营业所)|瓦窑巷与重兴北路交叉口西南方向90米||王益区|109.077788,35.071969|中国邮政储蓄银行24小时自助银行(长虹路营业所)
246|陕西信合24小时自助银行(长虹信用社)|金鼎路8号附近||王益区|109.094722,35.074890|陕西信合24小时自助银行(长虹信用社)
247|陕西信合24小时自动银行|北街与同官路交叉口东南100米||王益区|109.095360,35.079157|陕西信合24小时自动银行
248|中国信合(长虹信用社)|同官路114附近||耀州区|108.947893,34.895790|中国信合(长虹信用社)
249|中国农业银行24小时自助银行(铜川火车站分理处)|电信大楼(朝阳路北)||印台区|109.099224,35.111384|中国农业银行24小时自助银行(铜川火车站分理处)
250|中国邮政储蓄银行24小时自助银行(陕西省耀州区支行)|红旗街与过境线交叉口东北100米||王益区|109.078583,35.070739|中国邮政储蓄银行24小时自助银行(陕西省耀州区支行)
251|陕西信合ATM|延安路34附近||耀州区|108.945249,34.903555|陕西信合ATM
252|长安银行24小时自助银行(枫林社区支行)|朝阳西路果树公寓樱桃园小区1栋2单元20102号房||印台区|109.102104,35.106054|长安银行24小时自助银行(枫林社区支行)
253|中国信合24小时自助银行(印台区新街分社)|五一路32号||印台区|109.159819,35.023937|中国信合24小时自助银行(印台区新街分社)
254|中国银行24小时自助银行(文营西路)|高楼河乡街道||印台区|109.101578,35.090923|中国银行24小时自助银行(文营西路)
255|中国工商银行24小时自助银行(铜川王益区支行)(装修中)|药王路23号||王益区|109.098505,35.082575|中国工商银行24小时自助银行(铜川王益区支行)(装修中)
256|陕西信合ATM|七一路79号附近||耀州区|108.881832,35.191486|陕西信合ATM
257|陕西信合24小时自助银行|红旗街156附近||王益区|109.062470,35.062065|陕西信合24小时自助银行
258|中国工商银行附行式自助银行(铜川分行印台区支行同官路)|旬耀路东50米||印台区|109.405810,35.131664|中国工商银行附行式自助银行(铜川分行印台区支行同官路)
259|长安银行24小时自助银行(金鼎路社区支行)|川口路与王家河南路交叉口西北100米||耀州区|108.976312,34.915877|长安银行24小时自助银行(金鼎路社区支行)
260|中国邮政储蓄银行24小时自助银行|铁诺北路与铁诺南路交叉口南100米||王益区|109.073755,35.070871|中国邮政储蓄银行24小时自助银行
261|中国邮政储蓄银行24小时自助银行|金谟路永辉大厦1层附近||耀州区|108.949145,34.895340|中国邮政储蓄银行24小时自助银行
262|西安银行24小时自助银行|红旗街||耀州区|108.949741,34.894707|西安银行24小时自助银行
263|长安银行24小时自助银行|环城西路||王益区|109.075972,35.069288|长安银行24小时自助银行
264|陕西信合|红旗街312号||耀州区|108.949751,34.894612|陕西信合
265|中国信合24小时自助银行|宜阳北街7号附近||王益区|109.095756,35.080265|中国信合24小时自助银行
266|中国工商银行24小时自助银行(铜川朝阳路支行)|城关街道东街||耀州区|108.980903,34.910040|中国工商银行24小时自助银行(铜川朝阳路支行)
267|中国工商银行(铜川分行王益区支行王益区便民服务中心离行式自助银行)|黄堡街与210国道交叉口东北150米||耀州区|108.776970,35.160248|中国工商银行(铜川分行王益区支行王益区便民服务中心离行式自助银行)
268|农村信用合作社(高楼河信用社)|迎宾路||王益区|109.054035,35.070127|农村信用合作社(高楼河信用社)
269|中国邮政储蓄银行24小时自助银行(耀州区支行)|庙湾镇||印台区|109.390183,35.116032|中国邮政储蓄银行24小时自助银行(耀州区支行)
270|陕西信合24小时自助银行(长虹信用社)|广阳镇农村信用合作联社广阳信用社||耀州区|108.938155,34.898563|陕西信合24小时自助银行(长虹信用社)
271|陕西信合24小时自助银行(红旗分社)|广阳镇||印台区|108.926827,35.303357|陕西信合24小时自助银行(红旗分社)
272|新华村镇银行24小时自助银行|青年路金华步行街||耀州区|108.976446,34.907547|新华村镇银行24小时自助银行
273|陕西信合24小时自助银行(城关信用社)|川口王家河南路58号||王益区|109.089055,35.074653|陕西信合24小时自助银行(城关信用社)
274|中国银行智能化旗舰店(川口店)|居安一路||王益区|109.060500,35.060400|中国银行智能化旗舰店(川口店)
275|中国邮政储蓄银行24小时自助银行(铜川市铁诺营业所)|同官路与平康路交叉口东南50米||王益区|109.072355,35.067994|中国邮政储蓄银行24小时自助银行(铜川市铁诺营业所)
276|陕西信合24小时自助银行(金谟路信用社)|瑞和干菜粮油店(305省道北)||耀州区|108.947118,34.934341|陕西信合24小时自助银行(金谟路信用社)
277|长安银行(铜川分行王益区支行)|川口路中段||印台区|109.102240,35.108570|长安银行(铜川分行王益区支行)
278|中国工商银行(宜君县支行)|同官路同官佳苑1层||耀州区|108.949017,34.902401|中国工商银行(宜君县支行)
279|中国邮政储蓄银行24小时自助银行(红旗营业所)|王石凹镇正南方向60米||印台区|109.099998,35.113840|中国邮政储蓄银行24小时自助银行(红旗营业所)
280|陕西信合|马坊村82号||耀州区|108.781210,34.908374|陕西信合
281|中国邮政储蓄银行24小时自助银行(印台区支行)|重兴南路187号附近||印台区|109.102250,35.108881|中国邮政储蓄银行24小时自助银行(印台区支行)
282|陕西信合24小时自助银行(黄堡信用社)|延安路68号正北方向180米||耀州区|108.938596,34.891794|陕西信合24小时自助银行(黄堡信用社)
283|中国邮政储蓄银行24小时自助银行(傲背营业所)|黄堡街什字口||王益区|109.062443,35.062057|中国邮政储蓄银行24小时自助银行(傲背营业所)
284|中国邮政储蓄银行24小时自助银行(庙湾营业所)|哭泉乡委(210国道西)||印台区|109.100622,35.100135|中国邮政储蓄银行24小时自助银行(庙湾营业所)
285|农村信用合作社ATM|宜阳中街22号附近||耀州区|108.929684,34.885672|农村信用合作社ATM
286|中国邮政储蓄银行24小时自助银行(广阳营业所)|新华书店西侧正北方向150米||王益区|109.094210,35.077660|中国邮政储蓄银行24小时自助银行(广阳营业所)
287|中国邮政储蓄银行ATM(青年路)|城关镇宜阳南街||印台区|109.405890,35.131690|中国邮政储蓄银行ATM(青年路)
288|陕西信合(柿树沟信用社)|同官路108号||耀州区|108.973882,34.915411|陕西信合(柿树沟信用社)
289|陕西信合24小时自助银行(照金信用社)|人民法院执行局东(川口路北)||耀州区|108.973590,34.919055|陕西信合24小时自助银行(照金信用社)
290|陕西省农村信用合作社-铜川市印台区财政惠民补贴资金兑付中心|新区华夏大道与鸿基路十字东北侧||王益区|109.082405,35.072213|陕西省农村信用合作社-铜川市印台区财政惠民补贴资金兑付中心
291|中国邮政储蓄银行24小时自助银行(红土镇营业所)|高楼河镇东坡社区中国移动西南50米||王益区|109.065102,35.062222|中国邮政储蓄银行24小时自助银行(红土镇营业所)
292|陕西信合24小时自助银行(新街信用社)|小丘镇小丘中心小学附近||耀州区|108.782183,34.909075|陕西信合24小时自助银行(新街信用社)
293|陕西省农村信用合作社ATM|黄堡街与210国道交叉口东北150米||耀州区|108.980552,34.907960|陕西省农村信用合作社ATM
294|中国建设银行(同官路支行)|永安南路123号附近||王益区|109.059384,35.062707|中国建设银行(同官路支行)
295|陕西信合24小时自助银行(王石凹信用社)|王医路与王家河北路交叉口北150米||耀州区|108.945608,34.903805|陕西信合24小时自助银行(王石凹信用社)
296|农村信用合作社|红旗街86号百盛国贸4层||耀州区|108.940282,34.906694|农村信用合作社
297|陕西信合24小时自助银行(金华分社)|同官路104号||王益区|109.069517,35.063848|陕西信合24小时自助银行(金华分社)
298|陕西信合24小时自助银行(南苑信用社)|幸福路与延安路交叉口西北50米||宜君县|109.114473,35.398737|陕西信合24小时自助银行(南苑信用社)
299|陕西信合(云梦信用社)|利民路与育才路交叉口东150米||王益区|109.076761,35.069965|陕西信合(云梦信用社)
300|中国工商银行ATM(黄堡街)|黄堡街||宜君县|109.118997,35.402190|中国工商银行ATM(黄堡街)
301|陕西信合(哭泉信用社)|210国道西50米||印台区|109.101020,35.109992|陕西信合(哭泉信用社)
302|陕西信合|红旗街86号百盛国贸4层王益区农村信用合作联社营业部||王益区|109.027237,35.004061|陕西信合
303|陕西信合(营业部)|黄堡街与210国道交叉口东100米||印台区|109.200172,35.106859|陕西信合(营业部)
304|陕西信合(龙山分社)|北街与集市西巷交叉口东南50米||耀州区|108.776995,35.160627|陕西信合(龙山分社)
305|陕西信合(尧生信用社)|同官路与平康路交叉口东50米||印台区|109.357720,35.118411|陕西信合(尧生信用社)
306|陕西信合(西村信用社)|同官路89号附近||印台区|109.356528,35.118729|陕西信合(西村信用社)
307|陕西信合24小时自助银行(同官信用社)|宜阳中街19号||王益区|109.100843,35.080931|陕西信合24小时自助银行(同官信用社)
308|铜川税务24小时自助办税自助银行服务|大同路1号||王益区|109.054113,35.070148|铜川税务24小时自助办税自助银行服务
309|长安银行24小时自助银行(鸿基路小微支行)|古柏路与育才路交叉口西50米||耀州区|108.639467,35.055049|长安银行24小时自助银行(鸿基路小微支行)
310|中国邮政储蓄银行(东坡营业所)|傲背迎宾路海营家电中心(近王石凹煤矿)||印台区|109.099840,35.116090|中国邮政储蓄银行(东坡营业所)
311|农村信用合作社(小丘分社)|同官路13号印台区农牧局家属楼一楼||印台区|109.267443,35.138018|农村信用合作社(小丘分社)
312|中国信合24小时自助银行(黄堡信用社)|延安路惠民佳苑18号楼||印台区|108.926908,35.303183|中国信合24小时自助银行(黄堡信用社)
313|中国信合(孙塬信用社)|瑶曲镇下石节矿区家属楼12号楼||王益区|109.060601,35.060245|中国信合(孙塬信用社)
314|陕西信合24小时自助银行(王家河信用社)|红旗街86号百盛国贸4层王益区农村信用合作联社营业部||印台区|109.100715,35.111955|陕西信合24小时自助银行(王家河信用社)
315|铜川市王益区农村信用合作联社(营业部)|小丘镇小丘中心小学附近||印台区|109.200143,35.106160|铜川市王益区农村信用合作联社(营业部)
316|陕西信合24小时自助银行(长虹信用社)|三里洞路与延安路交叉口西50米||宜君县|108.970535,35.351722|陕西信合24小时自助银行(长虹信用社)
317|中国信合24小时自助银行(三里洞分社)|新华书店西侧东北方向160米||王益区|109.104147,35.082300|中国信合24小时自助银行(三里洞分社)
318|中国邮政储蓄银行ATM(红旗支行)|宜阳南街3号||印台区|109.100585,35.099980|中国邮政储蓄银行ATM(红旗支行)
319|陕西信合铜川市王益区农村信用合作联社24小时自助银行(黄堡分社)|红旗街与老虎巷交叉口东北50米||宜君县|109.184736,35.213294|陕西信合铜川市王益区农村信用合作联社24小时自助银行(黄堡分社)
320|陕西信合24小时自助银行(金锁信用社)|尧生中学||王益区|109.026650,35.002926|陕西信合24小时自助银行(金锁信用社)
321|王益区农村信用合作社联合社24小时自助银行|城关镇宜阳中街96号||宜君县|109.084876,35.295467|王益区农村信用合作社联合社24小时自助银行
322|陕西信合24小时自助银行(黄堡分社)|同官路148号附近||宜君县|109.115954,35.395695|陕西信合24小时自助银行(黄堡分社)
323|陕西信合(印台联社城关分社)|云梦乡政府(云梦乡中心小学东北200米)||印台区|109.309115,35.170856|陕西信合(印台联社城关分社)
324|陕西信合24小时自助银行(鑫光信用社)|庙湾镇||宜君县|109.114075,35.398553|陕西信合24小时自助银行(鑫光信用社)
325|中国建设银行24小时自助银行(同官路支行)|五一路26号附近||宜君县|109.114724,35.391581|中国建设银行24小时自助银行(同官路支行)
326|中国农业银行(宜君支行)|人民东路与宜阳中街交叉口南100米||宜君县|109.350381,35.429055|中国农业银行(宜君支行)
327|中国信合ATM(王益信用社)|五里镇街56号||宜君县|109.340091,35.451008|中国信合ATM(王益信用社)
328|中国信合24小时自助银行|棋盘镇宜阳北街7号||印台区|109.099755,35.112905|中国信合24小时自助银行
329|陕西省农村信用合作社24小时自助银行|尧生镇||王益区|109.058905,35.063093|陕西省农村信用合作社24小时自助银行
330|中国工商银行24小时自助银行(印台区支行同官路)|长虹南路东50米||耀州区|108.945416,34.888222|中国工商银行24小时自助银行(印台区支行同官路)
331|铜川印台恒通村镇银行24小时自助银行|太安镇||印台区|109.395040,35.119463|铜川印台恒通村镇银行24小时自助银行
332|中国邮政储蓄银行(石节支行)|胜达·华府(环城西路北)||耀州区|108.778420,34.907751|中国邮政储蓄银行(石节支行)
333|陕西信合24小时自助银行(营业部)|尧生中学||王益区|109.027242,35.004068|陕西信合24小时自助银行(营业部)
334|陕西信合ATM|宜阳中街96号||耀州区|108.982881,34.902890|陕西信合ATM
335|陕西信合24小时自助银行(三里洞分社)|哭泉乡委(210国道西)||王益区|109.039195,35.098327|陕西信合24小时自助银行(三里洞分社)
336|中国农业发展银行(宜君县支行)|棋盘镇||王益区|109.072021,35.065364|中国农业发展银行(宜君县支行)
337|中国信合|西村乡东北方向10米||印台区|109.101956,35.109580|中国信合
338|长安银行24小时自助银行(王益区支行)|彭镇街道8号||王益区|109.063018,35.062204|长安银行24小时自助银行(王益区支行)
339|中国邮政储蓄银行(尧生营业所)|宜阳北街36号附近||印台区|109.101676,35.090978|中国邮政储蓄银行(尧生营业所)
340|中国邮政储蓄银行(宜君支行)|中国信合西村信用社||王益区|109.072749,35.068340|中国邮政储蓄银行(宜君支行)
341|陕西信合24小时自助银行(印台区营业部)|宜阳街||王益区|109.027376,35.003132|陕西信合24小时自助银行(印台区营业部)
342|陕西信合ATM|宜阳南街3号农村信用合作社联合社||印台区|109.052890,35.212305|陕西信合ATM
343|农村信用合作社(庙湾信用社)|宜阳中街22号附近||王益区|109.072104,35.065451|农村信用合作社(庙湾信用社)
344|中国邮政储蓄银行24小时自助银行(五一路营业所)|宜阳北街7号宜君县城关农村信用合作社||王益区|109.027397,35.003126|中国邮政储蓄银行24小时自助银行(五一路营业所)
345|中国农业银行24小时自助银行(宜君支行)|宜阳街7号||印台区|109.099316,35.111344|中国农业银行24小时自助银行(宜君支行)
346|陕西信合ATM|金谟西路2号||印台区|109.099930,35.115986|陕西信合ATM
347|中国邮政储蓄银行(五里镇营业所)|旬耀路北50米||印台区|109.100719,35.111868|中国邮政储蓄银行(五里镇营业所)
348|宜君县城关农村信用合作社|||宜君县|109.116501,35.395940|宜君县城关农村信用合作社
349|陕西信合ATM|||王益区|109.094725,35.074847|陕西信合ATM
350|中国信合24小时自助银行(长虹信用社)|||王益区|109.077581,35.072055|中国信合24小时自助银行(长虹信用社)
351|陕西信合24小时自助银行(太安信用社)|||印台区|109.200183,35.106300|陕西信合24小时自助银行(太安信用社)
352|陕西信合24小时自助银行(营业部)|||印台区|109.099480,35.116802|陕西信合24小时自助银行(营业部)
353|中国邮政储蓄银行24小时自助银行(尧生营业所)|||印台区|109.101052,35.102918|中国邮政储蓄银行24小时自助银行(尧生营业所)
354|中国邮政储蓄银行24小时自助银行(宜阳街营业所)|||耀州区|108.880885,35.190605|中国邮政储蓄银行24小时自助银行(宜阳街营业所)
355|中国邮政储蓄银行24小时自助银行(五里镇营业所)|||王益区|109.072066,35.065378|中国邮政储蓄银行24小时自助银行(五里镇营业所)
356|陕西信合24小时自助银行(哭泉信用社)|||耀州区|108.778370,34.907889|陕西信合24小时自助银行(哭泉信用社)
357|陕西信合24小时自助银行(棋盘信用社)|||印台区|109.101788,35.091113|陕西信合24小时自助银行(棋盘信用社)
358|陕西信合24小时自助银行(西村信用社)|||宜君县|109.114931,35.398577|陕西信合24小时自助银行(西村信用社)
359|农村信用合作社(彭镇)|||宜君县|109.115221,35.391388|农村信用合作社(彭镇)
360|中国农业银行24小时自助银行|||王益区|109.069622,35.063899|中国农业银行24小时自助银行
361|西村信用社24小时自助银行(宜君县农村信用合作联社)|||宜君县|109.348946,35.428066|西村信用社24小时自助银行(宜君县农村信用合作联社)
362|中国农业银行24小时自助银行|||宜君县|109.116615,35.396342|中国农业银行24小时自助银行
363|陕西信合24小时自助银行|||印台区|109.101770,35.106565|陕西信合24小时自助银行
364|陕西信合24小时自助银行|||宜君县|109.184616,35.213258|陕西信合24小时自助银行
365|宜君县城关农村信用合作社24小时自助银行|||耀州区|108.777020,35.160240|宜君县城关农村信用合作社24小时自助银行
366|陕西信合24小时自助银行(城关信用社)|||王益区|109.094480,35.078170|陕西信合24小时自助银行(城关信用社)
367|中国农业银行24小时自助银行(铜川新区支行)|||宜君县|109.116398,35.395797|中国农业银行24小时自助银行(铜川新区支行)
368|中国信合24小时自助银行(楼村信用社)|||宜君县|109.128403,35.411059|中国信合24小时自助银行(楼村信用社)
369||||宜君县|109.310660,35.458943|中国信合(坡头信用社)
370||||宜君县|109.118943,35.402214|陕西信合
371||||宜君县|109.350497,35.428995|中国信合ATM(新城信用社)
372||||耀州区|108.949750,34.894614|陕西信合(山城信用社)
373||||宜君县|108.970554,35.351735|中国银行(金谟路支行)
374||||宜君县|109.114077,35.398555|中国农业银行(新区支行)
375||||宜君县|109.348834,35.428225|中国信合(鑫光储蓄所)
376||||宜君县|109.116652,35.396299|中国工商银行(铜川正阳路支行)
377||||宜君县|109.310710,35.458893|中国工商银行(耀州区支行)
378||||宜君县|109.084876,35.295467|中国银行(铜川耀州区支行)
379||||宜君县|109.194171,35.300904|中国工商银行(铜川新区支行)
380||||宜君县|109.340146,35.451047|中国银行(西街支行)
381||||宜君县|109.178549,35.505670|长安银行(永乐商城)
382||||宜君县|109.125630,35.407535|中国建设银行(铜川新区支行)
383||||宜君县|109.340145,35.451047|长安银行(铜川分行)
384||||宜君县|109.117268,35.397981|中国信合(柳林中心卫生院北)
385||||宜君县|109.114697,35.391785|陕西信合
386||||宜君县|109.115954,35.395695|铜川耀州新华村镇银行
387||||宜君县|109.118941,35.402217|中国工商银行
388||||宜君县|109.118905,35.402080|中国信合(关庄信用社)
389||||耀州区|108.938545,34.903411|中国建设银行(永安北路支行)
390||||耀州区|108.901190,34.852774|中国工商银行(长丰北路)
391||||||中国工商银行(南大街支行)
392||||||中国工商银行(金谟路支行)
393||||||中国农业银行(铜川印台区支行)
394||||||中国建设银行(铜川分行)
395||||||中国建设银行(耀州区支行)
396||||||中国工商银行(崔家沟支行)
397||||||中国建设银行(铜川分行营业部)
398||||||中国建设银行(红旗街支行)
399||||||中国农业银行(耀州区支行)
400||||||中国银行铜川川口支行
401||||||中国银行
402||||||中国邮政储蓄银行(铁诺南路)
403||||||中国邮政储蓄银行(铁诺支行)
404||||||中国工商银行(铜川新区分行)
405||||||中国建设银行(斯正街)
406||||||西安银行(铜川分行)
407||||||中国银行(铜川朝阳路支行)
408||||||中国农业银行(城关分理处)
409||||||中国信合(山城信用社)
410||||||中国农业银行(铜川正阳路分理处)
411||||||中国农业银行(铜川七一路支行)
412||||||中国人民银行(铜川市中心支行)
413||||||中国银行ATM(印台支行)
414||||||陕西信合(长虹信用社)
415||||||中国银行(印台支行)
416||||||中国信合(七一路分社)
417||||||中国信合24小时自助银行(川口路)
418||||||中国农业银行(铜川朝阳路分理处)
419||||||中国建设银行24小时自助银行(新区支行)
420||||||陕西信合
422||||||中国信合(棋盘信用社)
423||||||中国信合(新乐分社)
424||||||中国工商银行(铜川五一路支行)
425||||||中国信合(王家河北路)
426||||||长安银行(枫林社区支行)
427||||||中国信合(红旗分社)
430||||||陕西信合(新建巷分社)
431||||||陕西信合(黄堡分社)
434||||||中国信合(新城信用社)
435||||||中国信合
436||||||中国建设银行(七一路支行)
438||||||中国信合(瑶曲镇)
439||||||中国信合(川口路店)
440||||||中国农业银行(长虹路支行)
441||||||陕西信合黄堡信用社
442||||||陕西信合(川口路店)
443||||||中国信合(石柱信用社)
444||||||中国农业发展银行(铜川市分行营业部)
446||||||中国信合(北新街分社)
447||||||中国建设银行24小时自助银行(红旗街支行)
451||||||陕西信合(华夏路分社)
452||||||中国信合(新建巷分社)
453||||||陕西信合(陈炉镇政府)
455||||||陕西信合(小丘信用社)
456||||||中国银行(三里洞支行)
457||||||陕西信合(石柱信用社)
459||||||中国建设银行24小时自助银行
460||||||陕西信合(铜工信用社)
462||||||陕西信合(新街信用社)
463||||||中国邮政储蓄银行
464||||||陕西信合耀州区贷款营销中心
465||||||中国工商银行24小时自助银行(印台区支行)
466||||||中国农业发展银行(铜川市耀州区支行)
467||||||中国信合24小时自助银行(北新街分社)
468||||||中国人民银行(耀州支行)
469||||||中国邮政储蓄银行(耀州区支行)
470||||||中国邮政储蓄银行(铜川分行营业部)
471||||||中国信合(三里洞分社)
472||||||陕西信合(耀州联社营业部)
473||||||中国银行(铜川分行)
474||||||陕西信合(庙湾信用社)
475||||||中国工商银行(黄堡支行)
476||||||中国邮政储蓄银行24小时自助银行(铁诺北路支行)
477||||||陕西信合(同官信用社)
478||||||陕西信合(鑫光分社)
479||||||陕西信合(耀州区信用联社)
481||||||陕西信合(金锁信用社)
482||||||陕西信合(阿庄信用社)
484||||||陕西信合招商分社
485||||||中国信合24小时自助银行(金华分社)
486||||||中国银行24小时自助银行(金谟路支行)
487||||||中国农业银行24小时自助银行
488||||||中国信合(孝北分社)
489||||||中国信合(董家河信用社)
490||||||中国农业银行24小时自助银行(耀州区支行)
491||||||中国银行ATM(川口支行)
493||||||中国工商银行(水泥厂分理处)
494||||||中国银行24小时自助银行
497||||||中国邮政储蓄银行(河滨路)
499||||||新华村镇银行
501||||||陕西信合24小时自助银行
502||||||中国工商银行(王益区支行)
503||||||中国工商银行24小时自助银行
504||||||中国工商银行(印台区支行)
506||||||农村商业银行(王益信用社)
507||||||ATM(永乐商城)
510||||||中国银行ATM(铜川新区支行)
512||||||南关邮政储蓄ATM(延安路)
513||||||中国邮政储蓄银行24小时自助银行(新街营业所)
514||||||中国工商银行ATM(金谟路支行)
515||||||中国信合24小时自助银行
516||||||中国信合(金华分社)
517||||||中国农业银行(红旗街分理处)
518||||||长安银行(铜川分行)
519||||||中国农业银行24小时自助银行(铜川长虹路分理处)
520||||||中国信合(延安路支行)
521||||||中国工商银行(铜川红旗街支行)
522||||||中国邮政储蓄银行(五一路营业所)
523||||||农村信用合作社ATM
524||||||西安银行(铜川王益区支行)
526||||||铜川印台恒通村镇银行
528||||||耀州区农村信用合作联社24小时自助银行
529||||||中国农业银行24小时自助银行(长虹路支行)
532||||||中国邮政储蓄银行(新区支行)
534||||||中国农业发展银行
536||||||陕西信合王家河信用社铜川市王益区农村信用合作联社
537||||||中国工商银行24小时自助银行(正阳路)
538||||||中国工商银行24小时自助银行(耀州区支行)(装修中)
539||||||中国建设银行24小时自助银行(七一路支行)
540||||||中国邮政储蓄银行(长虹路营业所)
541||||||中国银行24小时自助银行(铜川分行)
542||||||中国农业银行24小时自助银行(铜川正阳路支行)
543||||||中国建设银行24小时自助银行(永安北路支行)
545||||||长安银行(铜川金鼎路社区支行)
546||||||中国银行24小时自助银行(耀州区支行)
549||||||中国农业银行24小时自助银行(红旗街分理处)
550||||||中国邮政邮政储蓄(青年路邮政所店)
551||||||中国银行24小时自助银行(西街支行)
552||||||中国工商银行ATM(铜川长虹路支行)
553||||||中国工商银行24小时自助银行(水泥厂支行)
554||||||中国信合(铜川市耀州区人民政府东北)
555||||||中国信合(尧生信用社)
557||||||新华村镇银行24小时自助银行
558||||||中国邮政储蓄银行24小时自助银行
559||||||中国银行24小时自助银行(红旗街支行)
560||||||中国工商银行24小时自助银行(正阳路支行)
561||||||中国建设银行24小时自助银行(朝阳路支行)
562||||||中国邮政储蓄银行(小丘营业所)
563||||||中国邮政储蓄银行(南关营业所)
564||||||陕西信合24小时自助银行(川口分社)
566||||||中国邮政储蓄银行(庙湾营业所)
568||||||中国信合(金锁信用社)
569||||||中国信合ATM(铜川市耀州区人民政府东北)
570||||||中国邮政储蓄银行(红旗营业所)(装修中)
571||||||中国邮政储蓄银行(华原营业所)
572||||||中国邮政储蓄银行(黄堡支行)
574||||||中国工商银行24小时自助银行(铜川正阳路支行)
575||||||中国邮政储蓄银行(川口支行)
577||||||陕西信合铜川市耀州区农村信用合作联社营业部
578||||||中国工商银行24小时自助银行(南大街支行)
579||||||中国工商银行24小时自助银行(铜川分行南大街支行)
580||||||中国邮政储蓄银行(红土镇营业所)
581||||||中国邮政储蓄银行(南关邮政储蓄)
582||||||中国邮政储蓄银行(傲背营业所)
583||||||中国邮政储蓄银行(广阳营业所)
584||||||中国工商银行24小时自助银行(长虹路支行)
586||||||中国工商银行24小时自助银行(金谟路支行长丰北路)
588||||||陕西信合24小时自助银行(楼村信用社)
589||||||中国工商银行24小时自助银行(川口支行)
590||||||中国工商银行24小时自助银行(红旗街支行)
