|网点名称|地址|电话|区县|经纬度|银行名称
208|中国邮政储蓄银行(庙湾营业所)|步寿路与华原路十字西南角|[]|耀州区|108.977121,34.920712|金融保险服务;银行;银行
209|中国银行24小时自助银行|南大街60号|[]|耀州区|108.980876,34.908371|金融保险服务;自动提款机;中国工商银行ATM
210|中国信合(金锁信用社)|天宝路与柳公路交叉口西北100米|[]|耀州区|108.974074,34.919156|金融保险服务;自动提款机;中国工商银行ATM
211|中国信合ATM(铜川市耀州区人民政府东北)|红土邮政所(305省道北)|[]|印台区|109.267438,35.138072|金融保险服务;银行;中国邮政储蓄银行
212|中国邮政储蓄银行(红旗营业所)(装修中)|同官路南关曙光市场3-4号|0919-4189328|印台区|109.101783,35.104207|金融保险服务;银行;中国邮政储蓄银行
213||王石凹镇|0919-7684304|印台区|109.200196,35.106863|金融保险服务;银行;中国邮政储蓄银行
214|中国邮政储蓄银行(华原营业所)|广阳镇牛超农家店东北60米|0919-7382301|印台区|109.356569,35.118717|金融保险服务;银行;中国邮政储蓄银行
215|中国邮政储蓄银行(黄堡支行)|新区华原东道北、长虹北路西|[]|耀州区|108.941576,34.902511|金融保险服务;自动提款机;中国工商银行ATM
216|中国邮政储蓄银行(耀州区支行)|永辉大厦1楼|[]|耀州区|108.940360,34.906698|金融保险服务;银行;农村商业银行
217|中国工商银行24小时自助银行(铜川正阳路支行)|新区长丰北路与咸丰路十字银座商业广场A座一层139号|[]|耀州区|108.944970,34.910411|金融保险服务;自动提款机;中国工商银行ATM
218|中国邮政储蓄银行(川口支行)|健康路中段8号|[]|王益区|109.094530,35.072449|金融保险服务;自动提款机;中国建设银行ATM
219|中国农业银行24小时自助银行|旬耀路北50米|[]|耀州区|108.901108,34.852760|金融保险服务;自动提款机;农村商业银行ATM
220|陕西信合铜川市耀州区农村信用合作联社营业部|川口路5号|[]|王益区|109.059134,35.062291|金融保险服务;自动提款机;中国工商银行ATM
221|中国工商银行24小时自助银行(南大街支行)|[]|[]|王益区|109.073597,35.066669|金融保险服务;自动提款机;中国工商银行ATM
222|中国工商银行24小时自助银行(铜川分行南大街支行)|正大路与正阳路交叉口东南150米|[]|耀州区|108.945653,34.894559|金融保险服务;自动提款机;中国邮政储蓄银行ATM
223|中国邮政储蓄银行(红土镇营业所)|朝阳路中段路北|[]|耀州区|108.929953,34.886016|金融保险服务;自动提款机;中国农业银行ATM
224|中国邮政储蓄银行(南关邮政储蓄)|新区金谟西路35号|[]|耀州区|108.936595,34.902469|金融保险服务;自动提款机;中国工商银行ATM
225|中国邮政储蓄银行(傲背营业所)|东街方泉小区7号楼1层|0919-2182291|印台区|109.101170,35.110004|金融保险服务;银行;中国邮政储蓄银行
226|中国邮政储蓄银行(广阳营业所)|小河沟翠溪小区|[]|王益区|109.077640,35.072240|金融保险服务;银行;银行
227|中国工商银行24小时自助银行(长虹路支行)|香山路与药王路交叉口西北方向40米|[]|耀州区|108.975941,34.915762|金融保险服务;自动提款机;中国工商银行ATM
228|陕西信合|玉华镇新街115号|0919-7581304|印台区|108.926148,35.305064|金融保险服务;银行;中国邮政储蓄银行
229|中国工商银行24小时自助银行(金谟路支行长丰北路)|鸭口|[]|印台区|109.328072,35.124167|金融保险服务;银行;中国邮政储蓄银行
230|中国建设银行24小时自助银行|王家河北路与王家河南路交叉口西50米|[]|王益区|109.054098,35.070026|金融保险服务;自动提款机;自动提款机
231||古柏路与育才路交叉口西50米|[]|王益区|109.077788,35.071969|金融保险服务;自动提款机;自动提款机
232|陕西信合24小时自助银行(楼村信用社)|健康路与大同路交叉口西50米|[]|王益区|109.094722,35.074890|金融保险服务;自动提款机;农村商业银行ATM
233|中国工商银行24小时自助银行(川口支行)|五一路20号|[]|王益区|109.095360,35.079157|金融保险服务;自动提款机;中国建设银行ATM
234|中国工商银行24小时自助银行(红旗街支行)|城关街道陕西信合|[]|印台区|109.099224,35.111384|金融保险服务;银行;银行
235|中国邮政储蓄银行24小时自助银行|七一路103号|[]|王益区|109.078583,35.070739|金融保险服务;自动提款机;中国农业银行ATM
236|中国农业银行24小时自助银行(朝阳路分理处)|华原东道龙凤佳城商业广场B座|[]|耀州区|108.945249,34.903555|金融保险服务;自动提款机;中国银行ATM
237|中国工商银行24小时自助银行(铜川新区支行)|同官路150号|[]|印台区|109.102104,35.106054|金融保险服务;自动提款机;中国农业银行ATM
238|中国邮政储蓄银行(印台区支行)|陈炉镇街道陈炉镇政府附近|[]|印台区|109.159819,35.023937|金融保险服务;自动提款机;农村商业银行ATM
239|陕西信合铜川市王益区农村信用合作联社翠溪分社|三里洞街道三里洞大花园幸福佳苑1号楼|0919-2895827|印台区|109.101578,35.090923|金融保险服务;银行;农村商业银行
240|中国工商银行24小时自助银行(耀州区支行药王路)|瑶曲镇|[]|耀州区|108.881832,35.191486|金融保险服务;自动提款机;农村商业银行ATM
241||红旗街4号|[]|王益区|109.062470,35.062065|金融保险服务;自动提款机;农村商业银行ATM
242|中国邮政储蓄银行(新街营业所)|高楼河镇|[]|印台区|109.405810,35.131664|金融保险服务;自动提款机;农村商业银行ATM
243|中国邮政储蓄银行(徐家沟邮电所)|药王路西段北侧8号|[]|耀州区|108.976312,34.915877|金融保险服务;自动提款机;中国工商银行ATM
244|陕西信合24小时自助银行|红旗街44号|[]|王益区|109.073755,35.070871|金融保险服务;银行;银行
245|陕西信合24小时自助银行|长虹南路5号附近|[]|耀州区|108.949145,34.895340|金融保险服务;自动提款机;中国邮政储蓄银行ATM
246|陕西信合24小时自助银行|长虹南路(秦岭小区门口)|[]|耀州区|108.949741,34.894707|金融保险服务;自动提款机;农村商业银行ATM
247|中国建设银行24小时自助银行(五一路支行)|红旗街52号附近|[]|王益区|109.075972,35.069288|金融保险服务;自动提款机;农村商业银行ATM
248||长虹南路15号附近(秦岭小区门口)|0919-3285597|耀州区|108.949751,34.894612|金融保险服务;银行;农村商业银行
249|陕西信合铜川市印台区农村信用合作联社印台分社|五一路49号|[]|王益区|109.095756,35.080265|金融保险服务;自动提款机;中国农业银行ATM
250|中国农业银行24小时自助银行(铜川七一路支行)|永安南路175号附近|[]|耀州区|108.980903,34.910040|金融保险服务;自动提款机;中国邮政储蓄银行ATM
251|中国银行24小时自助银行(华原东道)|庙湾镇|[]|耀州区|108.776970,35.160248|金融保险服务;自动提款机;自动提款机
252|中国农业银行24小时自助银行(铜川印台区支行)|华原东道枫林小区北门旁|[]|耀州区|108.938155,34.898563|金融保险服务;自动提款机;自动提款机
253|陕西信合24小时自助银行|玉华小区附近|[]|印台区|108.926827,35.303357|金融保险服务;自动提款机;农村商业银行ATM
254|陕西信合(三里洞分社)|西大街|[]|耀州区|108.976446,34.907547|金融保险服务;自动提款机;中国银行ATM
255||七一路25号|[]|王益区|109.089055,35.074653|金融保险服务;自动提款机;中国工商银行ATM
256|陕西信合24小时自助银行|川口路29号|[]|王益区|109.060500,35.060400|金融保险服务;自动提款机;自动提款机
257|陕西信合24小时自助银行|[]|[]|耀州区|108.947118,34.934341|金融保险服务;自动提款机;农村商业银行ATM
258|陕西信合24小时自助银行|瓦窑巷与重兴北路交叉口西南方向90米|[]|印台区|109.102240,35.108570|金融保险服务;自动提款机;中国工商银行ATM
259|中国工商银行附行式自助银行(铜川分行耀州区支行药王路)|金鼎路8号附近|[]|耀州区|108.949017,34.902401|金融保险服务;自动提款机;自动提款机
260|陕西信合铜川市王益区农村信用合作联社铜工信用社|北街与同官路交叉口东南100米|[]|印台区|109.099998,35.113840|金融保险服务;自动提款机;中国邮政储蓄银行ATM
261|中国邮政储蓄银行24小时自助银行(长虹路营业所)|[]|[]|耀州区|108.781210,34.908374|金融保险服务;自动提款机;中国邮政储蓄银行ATM
262|陕西信合24小时自助银行(长虹信用社)|同官路114附近|[]|印台区|109.102250,35.108881|金融保险服务;自动提款机;自动提款机
263|陕西信合24小时自动银行|电信大楼(朝阳路北)|[]|耀州区|108.938596,34.891794|金融保险服务;自动提款机;自动提款机
264|中国信合(长虹信用社)|红旗街与过境线交叉口东北100米|[]|王益区|109.062443,35.062057|金融保险服务;银行;农村商业银行
265|中国农业银行24小时自助银行(铜川火车站分理处)|延安路34附近|[]|印台区|109.100622,35.100135|金融保险服务;自动提款机;农村商业银行ATM
266|中国邮政储蓄银行24小时自助银行(陕西省耀州区支行)|朝阳西路果树公寓樱桃园小区1栋2单元20102号房|[]|耀州区|108.929684,34.885672|金融保险服务;自动提款机;中国工商银行ATM
267|陕西信合ATM|五一路32号|[]|王益区|109.094210,35.077660|金融保险服务;自动提款机;中国工商银行ATM
268||高楼河乡街道|0919-7392081|印台区|109.405890,35.131690|金融保险服务;银行;银行
269||药王路23号|[]|耀州区|108.973882,34.915411|金融保险服务;自动提款机;中国邮政储蓄银行ATM
270|长安银行24小时自助银行(枫林社区支行)|七一路79号附近|[]|王益区|109.082405,35.072213|金融保险服务;自动提款机;农村商业银行ATM
271|中国信合24小时自助银行(印台区新街分社)|红旗街156附近|[]|王益区|109.065102,35.062222|金融保险服务;自动提款机;农村商业银行ATM
272|中国银行24小时自助银行(文营西路)|旬耀路东50米|[]|耀州区|108.782183,34.909075|金融保险服务;自动提款机;自动提款机
273|中国工商银行24小时自助银行(铜川王益区支行)(装修中)|[]|[]|耀州区|108.980552,34.907960|金融保险服务;自动提款机;农村商业银行ATM
274|陕西信合ATM|川口路与王家河南路交叉口西北100米|0919-2392057|王益区|109.059384,35.062707|金融保险服务;银行;中国银行
275||铁诺北路与铁诺南路交叉口南100米|[]|耀州区|108.945608,34.903805|金融保险服务;自动提款机;中国邮政储蓄银行ATM
276|陕西信合24小时自助银行|金谟路永辉大厦1层附近|[]|耀州区|108.940282,34.906694|金融保险服务;自动提款机;农村商业银行ATM
277|中国工商银行附行式自助银行(铜川分行印台区支行同官路)|红旗街|0919-2163336|王益区|109.069517,35.063848|金融保险服务;银行;银行
278|长安银行24小时自助银行(金鼎路社区支行)|环城西路|[]|宜君县|109.114473,35.398737|金融保险服务;银行;中国工商银行
279|中国邮政储蓄银行24小时自助银行|红旗街312号|[]|王益区|109.076761,35.069965|金融保险服务;自动提款机;中国邮政储蓄银行ATM
280|中国邮政储蓄银行24小时自助银行|宜阳北街7号附近|[]|宜君县|109.118997,35.402190|金融保险服务;银行;农村商业银行
281|西安银行24小时自助银行|城关街道东街|[]|印台区|109.101020,35.109992|金融保险服务;自动提款机;中国邮政储蓄银行ATM
282|长安银行24小时自助银行|黄堡街与210国道交叉口东北150米|[]|王益区|109.027237,35.004061|金融保险服务;自动提款机;农村商业银行ATM
283|陕西信合|迎宾路|[]|印台区|109.200172,35.106859|金融保险服务;自动提款机;中国邮政储蓄银行ATM
284|中国信合24小时自助银行|庙湾镇|[]|耀州区|108.776995,35.160627|金融保险服务;自动提款机;中国邮政储蓄银行ATM
285|中国工商银行24小时自助银行(铜川朝阳路支行)|广阳镇农村信用合作联社广阳信用社|[]|印台区|109.357720,35.118411|金融保险服务;自动提款机;自动提款机
286|中国工商银行(铜川分行王益区支行王益区便民服务中心离行式自助银行)|广阳镇|[]|印台区|109.356528,35.118729|金融保险服务;自动提款机;中国邮政储蓄银行ATM
287|农村信用合作社(高楼河信用社)|青年路金华步行街|[]|王益区|109.100843,35.080931|金融保险服务;自动提款机;中国邮政储蓄银行ATM
288|中国邮政储蓄银行24小时自助银行(耀州区支行)|川口王家河南路58号|0919-2881856|王益区|109.054113,35.070148|金融保险服务;银行;农村商业银行
289||居安一路|[]|耀州区|108.639467,35.055049|金融保险服务;自动提款机;农村商业银行ATM
290|陕西信合24小时自助银行(长虹信用社)|同官路与平康路交叉口东南50米|[]|印台区|109.099840,35.116090|金融保险服务;银行;银行
291|陕西信合24小时自助银行(红旗分社)|瑞和干菜粮油店(305省道北)|[]|印台区|109.267443,35.138018|金融保险服务;自动提款机;中国邮政储蓄银行ATM
292|新华村镇银行24小时自助银行|[]|[]|印台区|108.926908,35.303183|金融保险服务;自动提款机;农村商业银行ATM
293|陕西信合24小时自助银行(城关信用社)|川口路中段|[]|王益区|109.060601,35.060245|金融保险服务;自动提款机;自动提款机
294|中国银行智能化旗舰店(川口店)|同官路同官佳苑1层|0919-4181063|印台区|109.100715,35.111955|金融保险服务;银行;中国建设银行
295|中国邮政储蓄银行24小时自助银行(铜川市铁诺营业所)|王石凹镇正南方向60米|[]|印台区|109.200143,35.106160|金融保险服务;自动提款机;农村商业银行ATM
296|陕西信合24小时自助银行(金谟路信用社)|马坊村82号|0919-5888294|宜君县|108.970535,35.351722|金融保险服务;银行;银行
297|长安银行(铜川分行王益区支行)|重兴南路187号附近|[]|王益区|109.104147,35.082300|金融保险服务;自动提款机;农村商业银行ATM
298|中国工商银行(宜君县支行)|延安路68号正北方向180米|[]|印台区|109.100585,35.099980|金融保险服务;自动提款机;农村商业银行ATM
299|中国邮政储蓄银行24小时自助银行(红旗营业所)|[]|[]|宜君县|109.184736,35.213294|金融保险服务;银行;农村商业银行
300|陕西信合|黄堡街什字口|[]|王益区|109.026650,35.002926|金融保险服务;自动提款机;中国工商银行ATM
301|中国邮政储蓄银行24小时自助银行(印台区支行)|哭泉乡委(210国道西)|[]|宜君县|109.084876,35.295467|金融保险服务;银行;农村商业银行
302|陕西信合24小时自助银行(黄堡信用社)|宜阳中街22号附近|[]|宜君县|109.115954,35.395695|金融保险服务;银行;农村商业银行
303|中国邮政储蓄银行24小时自助银行(傲背营业所)|新华书店西侧正北方向150米|[]|宜君县|109.114075,35.398553|金融保险服务;银行;农村商业银行
304|中国邮政储蓄银行24小时自助银行(庙湾营业所)|城关镇宜阳南街|0919-5281371|宜君县|109.114724,35.391581|金融保险服务;银行;农村商业银行
305|农村信用合作社ATM|[]|[]|宜君县|109.350381,35.429055|金融保险服务;银行;农村商业银行
306|中国邮政储蓄银行24小时自助银行(广阳营业所)|[]|[]|宜君县|109.340091,35.451008|金融保险服务;银行;农村商业银行
307|中国邮政储蓄银行ATM(青年路)|同官路108号|[]|印台区|109.099755,35.112905|金融保险服务;自动提款机;农村商业银行ATM
308|陕西信合(柿树沟信用社)|人民法院执行局东(川口路北)|[]|王益区|109.058905,35.063093|金融保险服务;自动提款机;自动提款机
309|陕西信合24小时自助银行(照金信用社)|新区华夏大道与鸿基路十字东北侧|[]|耀州区|108.945416,34.888222|金融保险服务;自动提款机;自动提款机
310|陕西省农村信用合作社-铜川市印台区财政惠民补贴资金兑付中心|高楼河镇东坡社区中国移动西南50米|0919-7390284|印台区|109.395040,35.119463|金融保险服务;银行;中国邮政储蓄银行
311|中国邮政储蓄银行24小时自助银行(红土镇营业所)|小丘镇小丘中心小学附近|[]|耀州区|108.778420,34.907751|金融保险服务;银行;银行
312|陕西信合24小时自助银行(新街信用社)|黄堡街与210国道交叉口东北150米|[]|王益区|109.027242,35.004068|金融保险服务;自动提款机;农村商业银行ATM
313|陕西省农村信用合作社ATM|永安南路123号附近|[]|耀州区|108.982881,34.902890|金融保险服务;银行;农村商业银行
314|中国建设银行(同官路支行)|王医路与王家河北路交叉口北150米|[]|王益区|109.039195,35.098327|金融保险服务;自动提款机;农村商业银行ATM
315|陕西信合24小时自助银行(王石凹信用社)|红旗街86号百盛国贸4层|0919-2153053|王益区|109.072021,35.065364|金融保险服务;银行;农村商业银行
316|农村信用合作社|同官路104号|[]|印台区|109.101956,35.109580|金融保险服务;自动提款机;农村商业银行ATM
317|陕西信合24小时自助银行(金华分社)|幸福路与延安路交叉口西北50米|[]|印台区|109.101676,35.090978|金融保险服务;自动提款机;农村商业银行ATM
318|陕西信合24小时自助银行(南苑信用社)|利民路与育才路交叉口东150米|[]|王益区|109.072749,35.068340|金融保险服务;自动提款机;中国邮政储蓄银行ATM
319|陕西信合(云梦信用社)|黄堡街|[]|王益区|109.027376,35.003132|金融保险服务;自动提款机;农村商业银行ATM
320|中国工商银行ATM(黄堡街)|210国道西50米|[]|印台区|109.052890,35.212305|金融保险服务;自动提款机;农村商业银行ATM
321|陕西信合(哭泉信用社)|红旗街86号百盛国贸4层王益区农村信用合作联社营业部|[]|王益区|109.072104,35.065451|金融保险服务;自动提款机;农村商业银行ATM
322|陕西信合|黄堡街与210国道交叉口东100米|[]|王益区|109.027397,35.003126|金融保险服务;自动提款机;农村商业银行ATM
323||北街与集市西巷交叉口东南50米|[]|印台区|109.099316,35.111344|金融保险服务;银行;农村商业银行
324|陕西信合(营业部)|同官路与平康路交叉口东50米|[]|印台区|109.099930,35.115986|金融保险服务;自动提款机;农村商业银行ATM
325|陕西信合(龙山分社)|同官路89号附近|[]|印台区|109.100719,35.111868|金融保险服务;自动提款机;中国建设银行ATM
326|陕西信合(尧生信用社)|宜阳中街19号|0919-5281505|宜君县|109.116501,35.395940|金融保险服务;银行;中国农业银行
327|陕西信合(西村信用社)|大同路1号|[]|王益区|109.094725,35.074847|金融保险服务;自动提款机;农村商业银行ATM
328|陕西信合24小时自助银行(同官信用社)|古柏路与育才路交叉口西50米|[]|王益区|109.077581,35.072055|金融保险服务;自动提款机;农村商业银行ATM
329|铜川税务24小时自助办税自助银行服务|傲背迎宾路海营家电中心(近王石凹煤矿)|[]|印台区|109.200183,35.106300|金融保险服务;自动提款机;自动提款机
330|长安银行24小时自助银行(鸿基路小微支行)|同官路13号印台区农牧局家属楼一楼|[]|印台区|109.099480,35.116802|金融保险服务;自动提款机;中国工商银行ATM
331|中国邮政储蓄银行(东坡营业所)|延安路惠民佳苑18号楼|[]|印台区|109.101052,35.102918|金融保险服务;自动提款机;自动提款机
332|农村信用合作社(小丘分社)|瑶曲镇下石节矿区家属楼12号楼|0919-6821263|耀州区|108.880885,35.190605|金融保险服务;银行;中国邮政储蓄银行
333|中国信合24小时自助银行(黄堡信用社)|红旗街86号百盛国贸4层王益区农村信用合作联社营业部|[]|王益区|109.072066,35.065378|金融保险服务;自动提款机;农村商业银行ATM
334|中国信合(孙塬信用社)|小丘镇小丘中心小学附近|0919-6911022|耀州区|108.778370,34.907889|"金融保险服务;银行;农村商业银行|金融保险服务;自动提款机;农村商业银行ATM"
335|陕西信合24小时自助银行(王家河信用社)|三里洞路与延安路交叉口西50米|[]|印台区|109.101788,35.091113|金融保险服务;自动提款机;农村商业银行ATM
336|铜川市王益区农村信用合作联社(营业部)|新华书店西侧东北方向160米|[]|宜君县|109.114931,35.398577|金融保险服务;银行;银行
337|陕西信合24小时自助银行(长虹信用社)|宜阳南街3号|0919-5281371|宜君县|109.115221,35.391388|金融保险服务;银行;农村商业银行
338||红旗街与老虎巷交叉口东北50米|[]|王益区|109.069622,35.063899|金融保险服务;自动提款机;自动提款机
339|中国信合24小时自助银行(三里洞分社)|尧生中学|[]|宜君县|109.348946,35.428066|金融保险服务;银行;中国邮政储蓄银行
340|中国邮政储蓄银行ATM(红旗支行)|城关镇宜阳中街96号|0919-5281770;0919-5281376|宜君县|109.116615,35.396342|金融保险服务;银行;中国邮政储蓄银行
341|陕西信合铜川市王益区农村信用合作联社24小时自助银行(黄堡分社)|同官路148号附近|[]|印台区|109.101770,35.106565|金融保险服务;自动提款机;农村商业银行ATM
342|陕西信合24小时自助银行(金锁信用社)|云梦乡政府(云梦乡中心小学东北200米)|[]|宜君县|109.184616,35.213258|金融保险服务;自动提款机;自动提款机
343|王益区农村信用合作社联合社24小时自助银行|庙湾镇|0919-6831002|耀州区|108.777020,35.160240|金融保险服务;银行;农村商业银行
344|陕西信合24小时自助银行(黄堡分社)|五一路26号附近|[]|王益区|109.094480,35.078170|金融保险服务;自动提款机;中国邮政储蓄银行ATM
345|陕西信合(印台联社城关分社)|人民东路与宜阳中街交叉口南100米|[]|宜君县|109.116398,35.395797|金融保险服务;自动提款机;中国农业银行ATM
346|陕西信合24小时自助银行(鑫光信用社)|[]|[]|宜君县|109.128403,35.411059|金融保险服务;自动提款机;农村商业银行ATM
347|中国建设银行24小时自助银行(同官路支行)|五里镇街56号|0919-5981326|宜君县|109.310660,35.458943|金融保险服务;银行;中国邮政储蓄银行
348|中国农业银行(宜君支行)|棋盘镇宜阳北街7号|0919-5281266|宜君县|109.118943,35.402214|金融保险服务;银行;农村商业银行
349|中国信合ATM(王益信用社)|尧生镇|[]|宜君县|109.350497,35.428995|金融保险服务;自动提款机;自动提款机
350|中国信合24小时自助银行|长虹南路东50米|[]|耀州区|108.949750,34.894614|金融保险服务;自动提款机;农村商业银行ATM
351|陕西省农村信用合作社24小时自助银行|太安镇|[]|宜君县|108.970554,35.351735|金融保险服务;自动提款机;农村商业银行ATM
352|中国工商银行24小时自助银行(印台区支行同官路)|胜达·华府(环城西路北)|[]|宜君县|109.114077,35.398555|金融保险服务;自动提款机;农村商业银行ATM
353|铜川印台恒通村镇银行24小时自助银行|尧生中学|[]|宜君县|109.348834,35.428225|金融保险服务;自动提款机;中国邮政储蓄银行ATM
354|中国邮政储蓄银行(石节支行)|宜阳中街96号|[]|宜君县|109.116652,35.396299|金融保险服务;自动提款机;中国邮政储蓄银行ATM
355|陕西信合24小时自助银行(营业部)|[]|[]|宜君县|109.310710,35.458893|金融保险服务;自动提款机;中国邮政储蓄银行ATM
356|陕西信合ATM|哭泉乡委(210国道西)|[]|宜君县|109.084876,35.295467|金融保险服务;自动提款机;农村商业银行ATM
357|陕西信合24小时自助银行(三里洞分社)|棋盘镇|[]|宜君县|109.194171,35.300904|金融保险服务;自动提款机;农村商业银行ATM
358|中国农业发展银行(宜君县支行)|西村乡东北方向10米|[]|宜君县|109.340146,35.451047|金融保险服务;自动提款机;农村商业银行ATM
359|中国信合|彭镇街道8号|0919-5988308|宜君县|109.178549,35.505670|金融保险服务;银行;银行
360|长安银行24小时自助银行(王益区支行)|宜阳北街36号附近|[]|宜君县|109.125630,35.407535|金融保险服务;自动提款机;中国农业银行ATM
361|中国邮政储蓄银行(尧生营业所)|中国信合西村信用社|[]|宜君县|109.340145,35.451047|金融保险服务;自动提款机;农村商业银行ATM
362|中国邮政储蓄银行(宜君支行)|宜阳街|[]|宜君县|109.117268,35.397981|金融保险服务;自动提款机;中国农业银行ATM
363|陕西信合24小时自助银行(印台区营业部)|宜阳南街3号农村信用合作社联合社|[]|宜君县|109.114697,35.391785|金融保险服务;自动提款机;农村商业银行ATM
364|陕西信合ATM|宜阳中街22号附近|[]|宜君县|109.115954,35.395695|金融保险服务;自动提款机;农村商业银行ATM
365|农村信用合作社(庙湾信用社)|宜阳北街7号宜君县城关农村信用合作社|[]|宜君县|109.118941,35.402217|金融保险服务;自动提款机;农村商业银行ATM
366|中国邮政储蓄银行24小时自助银行(五一路营业所)|宜阳街7号|[]|宜君县|109.118905,35.402080|金融保险服务;自动提款机;农村商业银行ATM
367|中国农业银行24小时自助银行(宜君支行)|金谟西路2号|[]|耀州区|108.938545,34.903411|金融保险服务;自动提款机;中国农业银行ATM
368|陕西信合ATM|旬耀路北50米|[]|耀州区|108.901190,34.852774|金融保险服务;自动提款机;农村商业银行ATM
369|中国邮政储蓄银行(五里镇营业所)|||||
370|宜君县城关农村信用合作社|||||
371|陕西信合ATM|||||
372|中国信合24小时自助银行(长虹信用社)|||||
373|陕西信合24小时自助银行(太安信用社)|||||
374|陕西信合24小时自助银行(营业部)|||||
375|中国邮政储蓄银行24小时自助银行(尧生营业所)|||||
376|中国邮政储蓄银行24小时自助银行(宜阳街营业所)|||||
377|中国邮政储蓄银行24小时自助银行(五里镇营业所)|||||
378|陕西信合24小时自助银行(哭泉信用社)|||||
379|陕西信合24小时自助银行(棋盘信用社)|||||
380|陕西信合24小时自助银行(西村信用社)|||||
381|农村信用合作社(彭镇)|||||
382|中国农业银行24小时自助银行|||||
383|西村信用社24小时自助银行(宜君县农村信用合作联社)|||||
384|中国农业银行24小时自助银行|||||
385|陕西信合24小时自助银行|||||
386|陕西信合24小时自助银行|||||
387|宜君县城关农村信用合作社24小时自助银行|||||
388|陕西信合24小时自助银行(城关信用社)|||||
389|中国农业银行24小时自助银行(铜川新区支行)|||||
390|中国信合24小时自助银行(楼村信用社)|||||
